emp_id,branch_id,emp_name,role
1,16,Mirabel Quinell,Cashier
2,20,Garwood Kalvin,Auditor
3,20,Fonz Defty,Customer Support
4,5,Arly Dimitriev,Cashier
5,8,Cyril Landell,Customer Support
6,16,Tades Softley,Manager
7,12,Kip Wilber,Cashier
8,2,L;urette Wedderburn,Cashier
9,18,Obed McCritichie,Customer Support
10,4,Hy von Hagt,Auditor
11,2,Elsinore Thaw,Manager
12,14,Man Doohey,Customer Support
13,1,Hobard Runsey,Customer Support
14,12,Reuven Philips,Customer Support
15,6,Brittan Fairbourn,Loan Officer
16,14,Auroora Henstridge,Manager
17,5,Natala Raynor,Manager
18,16,Horst Harmstone,Manager
19,11,Martha Jeanequin,Customer Support
20,8,Ede Paaso,Auditor
21,8,Felicity Allom,Cashier
22,12,Aguie Lygo,Loan Officer
23,19,Iolanthe Krelle,Cashier
24,10,Nydia Edmonston,Cashier
25,13,Scotty Calbrathe,Cashier
26,19,Matilda Eddis,Customer Support
27,17,Roldan Skiggs,Cashier
28,10,Manuel Semple,Cashier
29,1,Verna Broadnicke,Customer Support
30,5,Kathi Forbes,Customer Support
31,1,Andy Brettell,Customer Support
32,18,Reinald Samweyes,Cashier
33,16,Ermin Stambridge,Customer Support
34,16,Jeffie Cheeld,Customer Support
35,11,Lukas Byne,Loan Officer
36,10,Danya Illem,Cashier
37,9,Raleigh Carl,Loan Officer
38,18,Ingamar Keatley,Auditor
39,20,Gabbie Donne,Loan Officer
40,20,Bianca Baggally,Customer Support
41,18,Malory Domaschke,Loan Officer
42,17,Devondra Colman,Loan Officer
43,9,Cary Eynaud,Cashier
44,8,Elwyn Tatlowe,Manager
45,2,Romeo Awdry,Loan Officer
46,6,Emelia Gatrell,Auditor
47,18,Chantal Levey,Loan Officer
48,1,Hendrik Dargue,Cashier
49,15,Mercy Alexsandrowicz,Loan Officer
50,11,Esra Triner,Manager
51,7,Dahlia Millership,Manager
52,10,Giacinta Walstow,Auditor
53,7,Diannne Kobel,Customer Support
54,10,Tansy Hayzer,Auditor
55,6,Cornall Dampney,Customer Support
56,19,Barbi Snelgrove,Loan Officer
57,6,Dayle Manifield,Cashier
58,14,Ellette Hambleton,Loan Officer
59,18,Kettie Reinbach,Auditor
60,7,Mallissa Dearlove,Cashier
61,6,Langston Cornall,Cashier
62,20,Francklin Matterson,Customer Support
63,6,Alyson Brockherst,Cashier
64,19,Rianon Crosi,Loan Officer
65,17,Lacee Castleman,Auditor
66,2,Merilee Sleany,Auditor
67,12,Kerk Dellatorre,Manager
68,8,Xavier Gallichan,Loan Officer
69,11,Charleen Gommes,Customer Support
70,10,Alida Spafford,Manager
71,7,Mikol Gabel,Customer Support
72,5,Andrea Mattin,Customer Support
73,17,Kerby Dowgill,Auditor
74,8,Bari Foakes,Cashier
75,20,Zaneta Aronowicz,Auditor
76,11,Ninnetta Curl,Loan Officer
77,11,Thia Willows,Auditor
78,7,Abrahan Buffery,Loan Officer
79,4,Gerhard Degan,Customer Support
80,12,Kyle Janas,Cashier
81,6,Toddie Ten Broek,Loan Officer
82,12,Gladi Scollard,Customer Support
83,10,Trudi Hawker,Auditor
84,15,Ashla Tavner,Auditor
85,11,Blithe Frean,Auditor
86,3,Tiphanie Thompsett,Manager
87,13,Ignace Hawkridge,Loan Officer
88,16,Emiline Bagnal,Auditor
89,17,Rhianon Reynault,Auditor
90,16,L;urette Abarough,Cashier
91,1,Rollie Randell,Auditor
92,12,Bond Bamb,Manager
93,8,Cordy MacMenamie,Manager
94,8,Nickolai Faltskog,Manager
95,5,Valentine Ashdown,Customer Support
96,8,Charline McCullum,Loan Officer
97,3,Granthem Munkton,Customer Support
98,11,Martelle Shivlin,Loan Officer
99,18,Morgen Stanborough,Auditor
100,14,Jaclin Putterill,Loan Officer
